991,2285,25417
477,4042,37927
743,2478,32324
1394,2904,40045
187,4068,25690
478,1672,37927
1553,3236,36257
399,3281,17876
744,108,32324
2199,2716,39199
188,1698,25690
1074,2844,11024
1837,2945,39374
1395,534,40045
400,911,17876
1554,866,36257
327,3308,8911
182,3388,5456
728,4138,11394
1460,4202,27721
328,938,8911
2200,346,39199
1075,474,11024
1838,575,39374
1640,2954,19020
509,3582,7460
729,1768,11394
183,1018,5456
510,1212,7460
1063,3122,5686
2162,2974,37293
1461,1832,27721
1641,584,19020
2060,4239,5016
218,3984,5323
839,2478,9331
347,3308,6291
1064,752,5686
2163,604,37293
840,108,9331
2061,1869,5016
1587,3271,15666
1454,4325,9919
219,1614,5323
738,2528,6239
348,938,6291
963,3507,5598
2330,2630,25258
2013,3282,4967
1588,901,15666
10,917,5248
1455,1955,9919
739,158,6239
2331,260,25258
322,2240,6128
964,1137,5598
2014,912,4967
1321,3179,8559
1552,4201,15647
193,2897,5135
647,4369,5864
2255,2938,16693
399,3562,6116
1043,3671,5542
1553,1831,15647
1909,3930,4901
1322,809,8559
194,527,5135
648,1999,5864
2256,568,16693
400,1192,6116
1044,1301,5542
140,3294,5123
1537,2504,14803
1910,1560,4901
1195,2790,7477
856,2039,5800
2233,3554,15357
372,2367,5373
940,3485,4655
1538,134,14803
1196,420,7477
1881,4246,4859
141,924,5123
839,4322,5443
473,3518,5316
941,1115,4655
2234,1184,15357
1882,1876,4859
82,3258,5037
1702,3376,7415
1365,2398,7283
840,1952,5443
474,1148,5316
1003,2987,4498
2221,3275,9840
83,888,5037
1855,4176,4830
1703,1006,7415
1366,28,7283
458,2306,5015
809,3375,4729
2222,905,9840
1004,617,4498
10,3288,4993
1856,1806,4830
1605,4268,6354
1301,2519,5542
362,2290,4589
810,1005,4729
2177,2198,9584
1149,2674,4465
32,3868,4963
1606,1898,6354
1835,3343,4644
1302,149,5542
326,3920,4563
656,3282,4606
2307,4189,6736
33,1498,4963
1150,304,4465
1836,973,4644
1663,4150,6083
1461,4233,4742
327,1550,4563
657,912,4606
2308,1819,6736
193,2957,4720
909,3447,4448
1664,1780,6083
1806,2818,4304
360,4069,4526
1462,1863,4742
753,4003,4459
2275,3064,6723
194,587,4720
910,1077,4448
1566,4347,6080
1807,448,4304
1283,2235,4699
361,1699,4526
2276,694,6723
754,1633,4459
151,2130,4574
910,4226,4319
1567,1977,6080
1459,4360,4671
509,4092,4341
1864,2869,4157
2122,3902,5565
19,3465,4362
826,3304,4438
911,1856,4319
1504,3181,5034
1865,499,4157
510,1722,4341
1460,1990,4671
20,1095,4362
2123,1532,5565
827,934,4438
1150,2513,4236
1505,811,5034
1798,4188,4125
370,4383,4319
1398,3850,4564
249,2460,4320
2319,3239,4858
827,2846,4358
1151,143,4236
371,2013,4319
1627,3593,4992
1799,1818,4125
250,90,4320
1399,1480,4564
828,476,4358
2320,869,4858
1123,3114,4135
1628,1223,4992
407,3977,4204
1859,4104,4122
281,3156,4240
733,3605,4335
2269,4149,4788
1288,4347,4485
1124,744,4135
408,1607,4204
1579,3667,4618
1860,1734,4122
282,786,4240
2270,1779,4788
1289,1977,4485
734,1235,4335
906,2718,4103
