478,1672,37927
3273,794,35634
744,108,32324
3197,2160,23928
188,1698,25690
1395,534,40045
2862,1393,23660
400,911,17876
1838,575,39374
4300,1212,36108
3823,88,37461
3106,755,20825
2331,260,25258
328,938,8911
991,2285,25417
510,1212,7460
1554,866,36257
3115,2359,17180
4230,1265,35886
2163,604,37293
2256,568,16693
348,938,6291
3745,2178,34675
322,2240,6128
3233,455,11295
729,1768,11394
2177,2198,9584
4215,477,30896
1461,1832,27721
400,1192,6116
1075,474,11024
2234,1184,15357
3140,1715,10369
840,108,9331
3497,265,21303
1703,1006,7415
183,1018,5456
739,158,6239
1641,584,19020
4122,483,21187
2193,345,6271
2413,291,12709
648,1999,5864
3270,1430,8400
3440,418,12496
1664,1780,6083
219,1614,5323
4397,1577,16061
2123,1532,5565
2491,929,11297
1588,901,15666
856,2039,5800
2061,1869,5016
3195,1813,7222
2222,905,9840
3616,305,12214
474,1148,5316
2308,1819,6736
1553,1831,15647
4111,248,10103
3070,132,6815
2276,694,6723
2014,912,4967
10,917,5248
1064,752,5686
3520,2054,9362
194,527,5135
2560,1244,6425
4319,500,9251
141,924,5123
3151,2118,6752
1538,134,14803
964,1137,5598
1910,1560,4901
3876,2180,7788
83,888,5037
3560,2221,9181
4306,1755,7347
1455,1955,9919
2996,796,6337
458,2306,5015
2597,1032,6338
4060,2204,6124
1882,1876,4859
1044,1301,5542
3750,503,8346
2766,1562,6328
4263,2006,5729
1322,809,8559
33,1498,4963
2596,1210,6071
1856,1806,4830
840,1952,5443
3253,540,6277
2487,1909,5880
1196,420,7477
194,587,4720
3836,401,8101
1836,973,4644
3999,473,4900
2457,2014,5749
3198,1640,6152
2502,10,5636
1366,28,7283
810,1005,4729
362,2290,4589
1807,448,4304
2970,2238,5971
3422,1563,7075
3994,390,4711
2610,87,5481
1606,1898,6354
151,2130,4574
941,1115,4655
3291,967,5441
1682,1304,4268
3340,1508,6651
657,912,4606
2691,222,4979
3970,1266,4666
327,1550,4563
1567,1977,6080
1004,617,4498
2961,2039,5178
2110,2070,4247
