187,4068,25690
1837,2945,39374
1394,2904,40045
188,1698,25690
1553,3236,36257
1838,575,39374
182,3388,5456
2060,4239,5016
991,2285,25417
2199,2716,39199
477,4042,37927
183,1018,5456
743,2478,32324
1395,534,40045
478,1672,37927
218,3984,5323
2061,1869,5016
1554,866,36257
399,3281,17876
2200,346,39199
219,1614,5323
2013,3282,4967
1074,2844,11024
744,108,32324
400,911,17876
2014,912,4967
10,917,5248
1460,4202,27721
2162,2974,37293
1640,2954,19020
1461,1832,27721
1075,474,11024
728,4138,11394
193,2897,5135
2163,604,37293
327,3308,8911
1909,3930,4901
1454,4325,9919
1641,584,19020
1063,3122,5686
328,938,8911
194,527,5135
2330,2630,25258
1910,1560,4901
729,1768,11394
509,3582,7460
1455,1955,9919
1064,752,5686
1587,3271,15666
510,1212,7460
140,3294,5123
1881,4246,4859
2331,260,25258
839,2478,9331
963,3507,5598
1321,3179,8559
141,924,5123
1588,901,15666
347,3308,6291
1882,1876,4859
2255,2938,16693
1322,809,8559
82,3258,5037
964,1137,5598
840,108,9331
1195,2790,7477
348,938,6291
2256,568,16693
1552,4201,15647
1855,4176,4830
83,888,5037
1043,3671,5542
738,2528,6239
322,2240,6128
1196,420,7477
1553,1831,15647
1856,1806,4830
2233,3554,15357
10,3288,4993
1044,1301,5542
1365,2398,7283
739,158,6239
1537,2504,14803
399,3562,6116
2234,1184,15357
1835,3343,4644
32,3868,4963
647,4369,5864
940,3485,4655
1366,28,7283
400,1192,6116
1538,134,14803
1836,973,4644
2221,3275,9840
33,1498,4963
941,1115,4655
372,2367,5373
648,1999,5864
1301,2519,5542
1702,3376,7415
2222,905,9840
1806,2818,4304
193,2957,4720
1302,149,5542
1003,2987,4498
473,3518,5316
856,2039,5800
1703,1006,7415
2177,2198,9584
1807,448,4304
194,587,4720
839,4322,5443
474,1148,5316
1461,4233,4742
1004,617,4498
1605,4268,6354
2307,4189,6736
151,2130,4574
1864,2869,4157
458,2306,5015
1462,1863,4742
1149,2674,4465
840,1952,5443
2308,1819,6736
1606,1898,6354
19,3465,4362
1865,499,4157
362,2290,4589
809,3375,4729
1283,2235,4699
1150,304,4465
1663,4150,6083
2275,3064,6723
20,1095,4362
1798,4188,4125
326,3920,4563
810,1005,4729
1459,4360,4671
909,3447,4448
249,2460,4320
1664,1780,6083
2276,694,6723
1799,1818,4125
327,1550,4563
910,1077,4448
656,3282,4606
1460,1990,4671
1566,4347,6080
250,90,4320
2122,3902,5565
1859,4104,4122
360,4069,4526
1398,3850,4564
657,912,4606
281,3156,4240
910,4226,4319
1567,1977,6080
2123,1532,5565
1860,1734,4122
361,1699,4526
1399,1480,4564
282,786,4240
911,1856,4319
1504,3181,5034
753,4003,4459
2319,3239,4858
509,4092,4341
1901,2315,4112
1288,4347,4485
1150,2513,4236
754,1633,4459
143,3903,4233
1505,811,5034
2320,869,4858
1834,2067,4079
510,1722,4341
1289,1977,4485
144,1533,4233
826,3304,4438
1151,143,4236
1627,3593,4992
2269,4149,4788
370,4383,4319
1992,4226,4063
1362,3569,4272
10,1915,4142
827,934,4438
1123,3114,4135
1628,1223,4992
2270,1779,4788
371,2013,4319
1993,1856,4063
10,4285,4079
1363,1199,4272
827,2846,4358
1124,744,4135
1579,3667,4618
2226,2273,4768
407,3977,4204
103,2145,4014
1359,2482,4190
906,2718,4103
828,476,4358
1580,1297,4618
408,1607,4204
907,348,4103
2301,3141,4408
273,3300,4011
1360,112,4190
1043,3202,4054
733,3605,4335
1582,2367,4416
1044,832,4054
2302,771,4408
463,3845,4024
274,930,4011
1351,2566,4174
1078,3013,4039
734,1235,4335
1681,3674,4268
2110,2070,4247
464,1475,4024
1079,643,4039
1352,196,4174
2166,3466,4047
692,3623,4189
1682,1304,4268
2167,1096,4047
1534,3311,4243
1451,2766,4154
693,1253,4189
2120,2633,4035
1535,941,4243
1452,396,4154
664,2459,4169
2121,263,4035
1748,3382,4085
1389,2775,4134
665,89,4169
2259,3440,4027
1390,405,4134
1749,1012,4085
610,4142,4149
2260,1070,4027
1390,2101,4071
1512,2864,4052
611,1772,4149
2125,2993,4023
1513,494,4052
693,3753,4058
1676,3829,4009
2126,623,4023
1677,1459,4009
694,1383,4058
614,2484,4001
615,114,4001
